gene_id	gene_name	SAMN36978213_MG	SAMN36978214_MG	SAMN36978215_MG	SAMN36978216_A1G	SAMN36978217_A1G	SAMN36978218_A1G	SAMN36978219_GC	SAMN36978220_GC	SAMN36978221_GC
ENSMUSG00000041143	Tmco4	4.000549	4.953573	5.394512	3.993795	4.899342	5.724389	4.410495	3.704881	3.843205
ENSMUSG00000041144	Dnah7b	0	0	0.014387	0.024265	0.011564	0.005453	0	0	0
ENSMUSG00000041147	Brca2	0.32793	0.92347	0.377224	1.104958	1.093736	0.414532	0.918363	0.35267	0.702156
ENSMUSG00000041153	Osgin2	0.994315	2.464582	2.576897	3.786764	1.031117	1.782421	1.914046	1.995148	0.787034
ENSMUSG00000041161	Otud3	5.868798	7.659384	6.102081	7.549265	5.397691	7.603175	5.874292	3.377741	2.686879
ENSMUSG00000041164	Zmiz2	13.023294	13.183113	12.718112	11.416847	10.595066	13.520989	10.301789	9.915438	8.412339
ENSMUSG00000041165	Spem1	0	0	0	0	0	0	0	0	0
ENSMUSG00000041168	Lonp1	68.395437	68.104223	68.281447	69.851185	69.904953	75.408931	68.232531	59.156522	50.757002
ENSMUSG00000041180	Hectd2	0.754002	1.041841	1.011646	1.193921	1.010319	1.238472	1.048537	0.872234	0.702651
ENSMUSG00000041187	Prkd2	3.132434	1.972145	2.432031	2.555198	2.632806	3.041498	2.181681	2.265193	1.270324
ENSMUSG00000041189	Chrnb1	0.217038	0.418157	0	0.323514	0.104859	0.776017	0.039831	0.306781	0.375553
ENSMUSG00000041193	Pla2g5	0	0	0	0	0	0	0	0	0
ENSMUSG00000041199	Rpusd1	0.482978	1.186777	0.556173	0.371513	2.061273	1.313084	1.849983	0.57584	0.48438
ENSMUSG00000041202	Pla2g2d	0	0	0	0	0.068393	0	0	0	0
ENSMUSG00000041203	2310036O22Rik	110.271859	101.82657	110.947639	103.248129	110.041773	83.308591	100.386316	108.811331	114.17231
ENSMUSG00000041205	Map6d1	0	0.022289	0	0	0	0	0	0	0.018639
ENSMUSG00000041215	Yeats2	2.306116	2.082938	1.800382	2.244091	2.257367	2.732562	1.358022	1.346982	1.579805
ENSMUSG00000041216	Clvs1	0.202569	0.04399	0.08122	0.111157	0	0.083237	0.074886	0.017037	0.228601
ENSMUSG00000041219	Arhgap11a	0.231383	0.367181	0.259598	0.492243	0.257017	0.330102	0.266717	0.141133	0.134226
ENSMUSG00000041220	Elovl6	24.970583	20.308231	23.960574	43.040879	43.361624	26.14988	103.360825	115.704649	63.412238
ENSMUSG00000041225	Arhgap12	9.768171	9.769101	6.3767	9.129162	11.76888	9.77145	7.855169	5.475393	4.515072
ENSMUSG00000041229	Phf8	3.113452	7.733858	7.753719	5.323453	6.177044	5.230773	3.069298	4.216833	4.26226
ENSMUSG00000041231	Ublcp1	18.983534	21.508706	23.079107	20.05026	17.550386	24.544411	19.993087	15.783951	15.739129
ENSMUSG00000041235	Chd7	3.318472	3.968201	4.974731	3.997121	3.473732	3.739195	3.594547	3.250524	2.508233
ENSMUSG00000041236	Vps41	16.852657	15.940085	14.419703	15.156323	15.487311	16.500457	15.924204	14.608839	12.497464
ENSMUSG00000041237	Pklr	91.671079	75.767	61.997212	132.902612	144.333981	81.920019	292.531078	300.46042	224.031029
ENSMUSG00000041238	Rbbp8	1.758141	2.93581	2.39823	2.660357	2.521489	2.657262	1.902366	2.020746	1.941671
ENSMUSG00000041241	Mul1	19.723259	18.546391	19.551223	20.235743	24.155878	21.591392	12.835614	16.418313	11.128351
ENSMUSG00000041245	Wnk3	0	0.048212	0	0	0	0	0	0	0
ENSMUSG00000041247	Lamp3	0	0	0	0	0	0	0	0	0
ENSMUSG00000041248	Kcnj1	0	0	0	0	0	0	0	0	0
ENSMUSG00000041255	Tmco5b	0	0	0	0	0	0	0	0	0
ENSMUSG00000041258	Zfp236	4.887382	5.863316	6.400526	6.277896	5.322931	8.245593	6.816502	4.181575	3.019589
ENSMUSG00000041261	Car8	33.982249	30.213526	30.679931	26.682076	27.62103	22.314869	24.614521	17.800707	13.339262
ENSMUSG00000041263	Rusc1	7.783692	10.822302	8.191029	8.265121	5.463293	8.621783	4.640794	5.372354	4.110566
ENSMUSG00000041264	Uspl1	8.708707	11.263758	13.407925	9.396133	10.42209	16.222798	6.695159	10.363257	7.281033
ENSMUSG00000041268	Dmxl2	4.857907	5.560405	6.283474	10.47874	5.770697	6.296699	6.926918	5.206399	5.964198
ENSMUSG00000041272	Tox	1.334402	1.023762	0.974634	0.39268	0.637479	1.059399	0.394384	0.474794	0.711745
ENSMUSG00000041278	Ttc1	17.754524	19.943608	16.836395	16.824677	19.654036	25.987952	16.199387	15.919852	11.44282
ENSMUSG00000041287	Sox15	0	0	0	0	0	0	0	0	0
ENSMUSG00000041293	Adgrf1	0.706844	1.557026	0.825919	1.148066	1.519437	0.9256	5.531485	4.079404	0.9175
ENSMUSG00000041297	Cdk13	5.678593	7.209855	7.254003	6.502695	6.091908	6.728237	7.209811	5.178879	4.109774
ENSMUSG00000041298	Katnal1	2.89566	2.186472	1.628922	3.502707	2.183804	4.231421	1.196893	1.119701	0.990738
ENSMUSG00000041301	Cftr	0.043494	0	0.01482	0.050497	0	0.034134	0	0.046376	0.009569
ENSMUSG00000041303	Gtf3c3	4.816981	3.054827	4.082656	4.756546	3.730585	5.374947	3.836508	2.800956	2.192905
ENSMUSG00000041308	Sntb2	1.129783	1.584482	1.536283	1.774636	1.427706	1.293318	1.171336	0.807477	0.343566
ENSMUSG00000041309	Nkx6-2	0	0	0	0	0	0.03749	0	0	0
ENSMUSG00000041313	Slc7a1	0.180113	0.105994	0.108479	0.040767	0.06761	0.168265	0.098854	0.069359	0.031853
ENSMUSG00000041319	Thoc6	6.303242	8.563264	6.223824	7.00995	5.726661	6.544613	4.61311	4.899372	2.915562
ENSMUSG00000041323	Ak7	0.110593	0.023688	0.059041	0.119511	0	0.0887	0.135329	0	0.038899
